0," "" analyze that "" is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .","""Analyze That"" is one of those gross, artificial sequels that not only fail on their own, but make you doubt your affection for the original."
0,"you might say tykwer has done all that heaven allows , if you wanted to make as anti-kieslowski a pun as possible . suffice to say its total promise is left slightly unfulfilled .","you could say tykwer has done everything the sky allows, if you want to make as anti-kieslowski a pun as possible. enough to say his total promise is left slightly unfulfilled."
0,"complex , sinuously plotted and , somehow , off-puttingly cold .","complex, sinuously drawn and, in one way or another, cold."
1,"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people .","dylan kidd, writer-director for the first time, also has a good ear for dialogue, and the characters sound like real people."
0," . . . an airless , prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you'll wonder if lopez's publicist should share screenwriting credit .",". . . an airless, prepackaged julia roberts wannabe that stinks so hard-selling image-mongering you'll wonder if the lopez publicist should share the script writing credit."
0,"goldmember has none of the visual wit of the previous pictures , and it looks as though jay roach directed the film from the back of a taxicab .","Goldmember has nothing of the visual spirit of the previous images, and it seems that Jay Roach directed the film in the back of a taxi."
0,could as easily have been called 'under siege 3 : in alcatraz' . . . a cinematic corpse that never springs to life .,It might as well have been called “in state of siege 3: in alcatraz”... a cinematic corpse that never springs up.
0,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title . . . amounts to surprisingly little .,"Compared to his previous films, it seems a disappointingly thin slice of lower-class London life; despite the title . . . rises surprisingly little."
0,lame sweet home leaves no southern stereotype unturned .,Lame sweet home leaves no stereotype of the south unprocessed.
0,"slow , dry , poorly cast , but beautifully shot .","Slow, dry, poorly cast, but beautifully shot."
0,"the jokes are sophomoric , stereotypes are sprinkled everywhere and the acting ranges from bad to bodacious .","Jokes are sophomoric, stereotypes are prevalent everywhere and actor ranges from bad to bodacious."
0,"will give many ministers and bible-study groups hours of material to discuss . but mainstream audiences will find little of interest in this film , which is often preachy and poorly acted .","will give many ministers and Bible study groups hours of material to discuss. but the general public will not find much of interest in this film, which is often preacher and misbehaved."
0,"in its chicken heart , crush goes to absurd lengths to duck the very issues it raises .","In his chicken heart, the crush goes to the absurd to avoid the very problems he raises."
0,this long and relentlessly saccharine film is a clear case of preaching to the converted .,This long and relentless saccharine film is a clear case of preaching to converts.
0,the film is flat .,The film is flat.
0,the movie is a lumbering load of hokum but . . . it's at least watchable .,The movie is a huge load of hokum but... it's at least observable.
0,it's a boom-box of a movie that might have been titled 'the loud and the ludicrous' . . . the pandering to a moviegoing audience dominated by young males is all too calculated .,It’s a boom-box of a movie that could have been titled “The Strong and the Ridiculous”... bending to a movie audience dominated by young men is over-calculated.
0,"an unbelievably stupid film , though occasionally fun enough to make you forget its absurdity .","an incredibly stupid movie, although sometimes fun enough to make you forget its absurdity."
0,the first fatal attraction was vile enough . do we really need the tiger beat version ?,the first fatal attraction was pretty vile. do we really need the Tiger Beat version?
0,"this bond film goes off the beaten path , not necessarily for the better .","This movie is off the beaten track, not necessarily for the best."
0,the problem is that the movie has no idea of it is serious or not .,"The problem is that the film has no idea, whether it’s serious or not."
0,"when the fire burns out , we've only come face-to-face with a couple dragons and that's where the film ultimately fails .","When the fire went out, we only met a few dragons and that’s where the movie fails."
0,it would work much better as a one-hour tv documentary .,It’s much better as an hour-long documentary.
0,the elements were all there but lack of a pyschological center knocks it flat .,"the elements were all there, but the absence of a pyschological center hits flat."
0,anemic chronicle of money grubbing new yorkers and their serial loveless hook ups .,Anemic chronic of money snatching the new yorkers and their serial loving hook ups.
0,simply doesn't have sufficient heft to justify its two-hour running time .,It simply doesn’t have enough weight to justify its two-hour running time.
0,an unsuccessful attempt at a movie of ideas .,An unsuccessful attempt at a film of ideas.
0,"queen of the damned as you might have guessed , makes sorry use of aaliyah in her one and only starring role -- she does little here but point at things that explode into flame .","The Queen of the Damned, as you may have guessed, uses Aaliyah in her one and only main role - she doesn't do much here, but points to things that explode in flames."
0,"this toothless dog , already on cable , loses all bite on the big screen .","This toothless dog, already on the cable, loses all bite on the big screen."
0,"it made me feel unclean , and i'm the guy who liked there's something about mary and both american pie movies . oh , and booty call .","It made me feel impure, and I’m the guy who liked there to be something about Mary and the two American pie movies."
0,"not only is it hokey , manipulative and as bland as wonder bread dipped in milk , but it also does the absolute last thing we need hollywood doing to us : it preaches .","Not only is he hokey, manipulative and as bland as the wonderful bread dipped in milk, but he also does the last absolute thing we need Hollywood to do to us: he preaches."
0,"it's so crammed with scenes and vistas and pretty moments that it's left a few crucial things out , like character development and coherence .","It’s so full of scenes, views and beautiful moments that it has left a few crucial things aside, like character development and consistency."
0,serving sara should be served an eviction notice at every theater stuck with it .,serve sara should be served an eviction notice at every theater stuck with it.
0,director roger michell does so many of the little things right that it's difficult not to cuss him out severely for bungling the big stuff .,Director Roger Mishell does so many little things though it’s hard not to accuse him severely for screwing up the big stuff.
0,"a loud , low-budget and tired formula film that arrives cloaked in the euphemism 'urban drama . '","a film of noisy formula, low budget and tired that arrives masked in the euphemism ""urban drama""."
0,"the movie has a script ( by paul pender ) made of wood , and it's relentlessly folksy , a procession of stagy set pieces stacked with binary oppositions .","The film has a wooden script (by Paul Pender), and it is relentlessly folksy, a procession of stagy pieces set stacked with binary oppositions."
0,"a pathetic exploitation film that tries to seem sincere , and just seems worse for the effort .","A pathetic exploitation film that tries to seem sincere, and that just seems worse for the effort."
0,"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill .","At some point, all this visual deception stops being smart and turns into overkill flashy, vaguely stupid."
0,"despite some charm and heart , this quirky soccer import is forgettable","despite a little charm and heart, this eccentric football import is forgettable"
0,"meyjes's movie , like max rothman's future , does not work .","Meyjes' film, like Max Rothman's future, doesn't work."
0,what's needed so badly but what is virtually absent here is either a saving dark humor or the feel of poetic tragedy .,"What we need so much, but what is practically absent here, is either a life-saving black humor, or the sensation of a poetic tragedy."
0,schneidermeister . . . makin' a fool of himself . . . losin' his fan base . . .,schneidermeister . . . make a fool of himself . . . lose his fan base . . .
0,"an ambitious , serious film that manages to do virtually everything wrong ; sitting through it is something akin to an act of cinematic penance .",an ambitious and serious film that manages to do practically everything that is wrong; sitting there is something like an act of cinematographic penance.
0,not once does it come close to being exciting .,It’s not a once-in-a-lifetime thing to be exciting.
0,"a frankenstein mishmash that careens from dark satire to cartoonish slapstick , bartleby performs neither one very well .","A medley of frankenstein who careen from dark satire to caricatural slapstick, bartleby performs neither very well."
-1,"it plays like a big-budget , after-school special with a generous cast , who at times lift the material from its well-meaning clunkiness .","he plays like a big budget, special after school with a generous distribution, which sometimes raises the material of his well-intentioned clunkiness."
0,there's something not entirely convincing about the quiet american . and that holds true for both the movie and the title character played by brendan fraser .,There is something not quite convincing about the Quiet American and this is true for both the movie and the title character played by Brendan Freser.
0,one of those strained caper movies that's hardly any fun to watch and begins to vaporize from your memory minutes after it ends .,One of those tense caper movies that is hardly fun to watch and starts to vaporize from your memory a few minutes after it ends.
0,needed a little less bling-bling and a lot more romance .,You need a little less bling-bling and a lot more romance.
-1,"the ending doesn't work . . . but most of the movie works so well i'm almost recommending it , anyway -- maybe not to everybody , but certainly to people with a curiosity about how a movie can go very right , and then step wrong .","The ending doesn’t work, but most of the movie works so well that I almost recommend it, anyway – maybe not to everyone, but certainly to people curious about how well a movie can go, and then get it wrong."
0,it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before .,It’s hard to believe that these jokers are supposed to have made four similar abductions before.
0,i'm not exactly sure what this movie thinks it is about .,I don’t know exactly what this movie is about.
0,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes .,cal is an unpleasantly shallow and immature character with whom to spend 110 claustrophobic minutes.
0,so brisk is wang's pacing that none of the excellent cast are given air to breathe .,so fast is the wang rhythm that none of the excellent casting are given air to breathe.
